raw_character_text,spoken_words
Dewey Largo,As tuned as we're gonna get in this humidity.
Homer Simpson,And the castrati?
Bart Simpson,The what now?
Homer Simpson,And a one and a two and a...
Choir,OH EDNA K. / OH EDNA K. / OH EDNA K. / OH EDNA K. / OH EDNA K. / OH EDNA K. / OH EDNA K. / OH EDNA K. /
Seymour Skinner,MS. KRABAPPEL / A SAD PRINCIPAL / IS DESPERATE AND NEEDY / IF YOU COME HOME / I WON'T DIE ALONE / AND THAT'S WHAT I'D PREFER...
Bart Simpson,UH-PLEE-EE-EE-EEASE / SETTLE FOR SEYMOUR / SO PLEE-EE-EE-EEASE COME BACK TO THE DORK
Comic Book Guy,"Well, well, if it isn't the square in our love triangle."
Seymour Skinner,What are you doing in Edna's place? Where is she?
Comic Book Guy,My beloved is napping blissfully in the many folds of my Spider-man T-shirt.
,
Comic Book Guy,"As for myself, I am popping kettle corn."
Seymour Skinner,This can't be happening!
Klingons,
Bart Simpson,It's your fault for giving birth to my arch-enemy!
Comic Book Guy,"Oh, but it can. I adore Edna: she is near-mint and comes from a very limited edition -- females who will talk to me."
Homer Simpson,Give her back to Skinner! A fat bald guy like you... you could have anyone!
Comic Book Guy,"Forget you. Edna and I are in love. We're doing everything together. Breakfast, bath, and then the Bi-Monthly Science Fiction Convention. Enjoying."
Bart Simpson,The Bi-Mon Sci-Fi Con?!
Seymour Skinner,You've heard of it? Is it romantic?
Bart Simpson,"Hey, women have put out just to get out of there."
Seymour Skinner,
,
Marge Simpson,"Edna's with Comic Book Guy? Oh God, she's on the rebound! And you meet the worst guys on the rebound. It's how Jackie got her ""O""!"
Homer Simpson,"Okay, we'll go to the convention, sell my Lois Lane comics, buy some Jimmy Olsens, and stop Edna from making a terrible mistake!"
Marge Simpson,I wish you'd devote this much time and attention to our relationship.
Homer Simpson,"Don't worry, Marge. We'll get something to eat."
,
Homer Simpson,I don't see Skinner anywhere.
Lisa Simpson,He's probably in costume -- he could be any of these people!
Marge Simpson,"They're all too old to be dressed up like super-people. Homer, let's just hurry up and go home so I can yell at you."
Dr. Julius Hibbert,"Oh my goodness, it's Matt Groening!"
Lenny Leonard,"Wow, the creator of ""Futurama!"""
Milhouse Van Houten,"Mr. Groening, will you autograph my Bender doll?"
Matt Groening,"Sure, I'm happy to give anyone my autograph, anytime or anywhere: on the street, in a store, or on my private property. But why be happy with just an autograph? What about an original sketch or snippet of my hair? And don't forget to pull my beard. They say it's good luck!"
Bart Simpson,Look -- there they are!
Lisa Simpson,They're going into Multi-Purpose Room B!
Homer Simpson,That room has a dry erase board. They could be doing anything in there! Anything.
,
Comic Book Guy,"Roughly translated, it means ""I would kill the children of a thousand planets just to see you smile."""
Edna Krabappel-Flanders,"Awww... that is the most romantic thing I've ever heard, which is kinda sad if you think about it."
Comic Book Guy,"Edna, I want you to marry me -- right here and now!"
Comic Book Guy,"If you marry me, we shall honeymoon in Nebulon Five, also known as San Diego."
Seymour Skinner,Nooo!
PRINCIPAL SKINNER CT,"Hands off my fianc̩, wide ride!"
Bart Simpson,Why are you dressed like Catwoman?
Seymour Skinner,They told me it was Catman! Now prepare for some roughhousing.
Klingon #1,
Klingon #2,
Edna Krabappel-Flanders,Stop it! Stop it both of you!
Edna Krabappel-Flanders,"Seymour, it's too late for you to win me back. This man worships me. He actually wants to be my husband."
Comic Book Guy,The female has made her decision.
Comic Book Guy,Prepare the feast of goldfish crackers!
Edna Krabappel-Flanders,I'm not marrying you either.
Comic Book Guy,"There are a million valid reasons, but which one did you pick?"
Edna Krabappel-Flanders,"We've had a great time together, but we're too different."
Comic Book Guy,I don't understand.
Edna Krabappel-Flanders,"It's like I'm DC Comics, and you're Marvel."
Comic Book Guy,I understand completely.
Edna Krabappel-Flanders,I don't think I want to be tied down to anybody.
Edna Krabappel-Flanders,Take me to some real men.
Convention Freak,"Okay, you can watch my Dad and my brothers beat me up."
Agnes Skinner,"Come back home with mama, son. I'll make you some hot cocoa, while you sit in your shame closet and think about what you did."
Seymour Skinner,"Well, at least I went down like a man."
Agnes Skinner,You look like a Malaysian transsexual.
Lisa Simpson,"Good for you, Mrs. K!"
Marge Simpson,Yeah! You don't need a husband to be happy!
Lisa Simpson,At least I was planned.
Homer Simpson,"Okay Marge, I hear ya. Now that Krabappel has made her decision, it's time to whitewash over our problems."
Marge Simpson,I'm afraid this time a coat of whitewash won't cover it.
Homer Simpson,
,
Marge Simpson,Our marriage is just an illusion. He doesn't care how I feel at all. He doesn't know how to love.
Homer Simpson,"Marge, the greatest day of my life was the day you and I became one."
Homer Simpson,Would you marry me again?
Marge Simpson,"Oh, it's very sweet, but I don't need..."
Marge Simpson,Where's that coming from?
Marge Simpson,A band in a closet! Every girl's dream.
Homer Simpson,"And now, Padre, if you would do the honors."
Klingon Wedding Minister,
Marge Simpson,I do!
Homer Simpson,"Marge, you just agreed to raise the kids Klingon!"
Marge Simpson,
,
,
Bart Simpson,Welcome to lecture number eight on the water balloon. Yesterday I asked everyone to think of other liquids you could fill a balloon with.
Milhouse Van Houten,Water?
Bart Simpson,"Thank you, Nelson. Anyone else?"
Kearney Zzyzwicz,Hot sauce?
Bart Simpson,"Kearney, that could blind someone. You get an ""A."""
Bart Simpson,"Now, for a practical demonstration. First we load the ordnance...then select the target."
Bart Simpson,"Hmm, not Otto -- he'd drive us off a cliff."
Otto Mann,Off a cliff? That would solve everything!
Bart Simpson,Bingo.
Lisa Simpson,Baaaaaart!
Ralph Wiggum,"Why can't you be friends, like me and Mr. Finger?"
Ralph Wiggum,You've betrayed me for the last time.
Otto Mann,Horseplay on a school bus? Has the world gone mad?
Otto Mann,Your stop!
,
,
Marge Simpson,Shame on you two creeps!
,
Marge Simpson,"Stop it! No one was planned! Now, we have to pack for Great-Uncle Tyrone's birthday tomorrow. In Dayton!"
Marge Simpson,"Dayton, Ohio!"
Bart Simpson,
Marge Simpson,It's got Wright-Patterson Airforce Base and a zipper museum! They have a zipper from every James Bond!
Lisa Simpson,Why are we even going? Last year Uncle Tyrone was bitter and depressed.
,
Unrecognizable Simpsons,HAPPY BIRTHDAY TO YOU!
Uncle Tyrone,Why won't I die?
Marge Simpson,"We're staying at the Dayton Arms Hotel. It got three Diamonds from ""Five Diamond"" magazine!"
Bart Simpson,"Please don't make us go. If you make me get on that plane, I'll give myself diarrhea! I know how!"
Homer Simpson,"Okay, don't go. Just stay here and rot with Grampa."
Grampa Simpson,I'm only rotting on the right side.
Homer Simpson,I'll right-side you!
Marge Simpson,"All right, kids, you don't have to go. But I insist we do something tonight as a family. We'll play board games, put photos in an album, measure how much you've grown..."
Bart Simpson,"What is your deal, anyway?"
Marge Simpson,"Well, I-I... let's just rent a movie."
,
Bart Simpson,Hm.
Moe Szyslak,"Oh yeah, that's the stuff!"
,
Moe Szyslak,"Brideshead's gonna get revisited tonight, baby!"
Bart Simpson,
Clerk,"I'm sorry sir, the computer says the movie ""Chocolate Star Wars"" doesn't exist."
Homer Simpson,I say you don't exist!
Clerk,"No, I'm right here under ""Staff."""
Marge Simpson,"What I want is a really good ""weeper."""
Carl Carlson,"What about ""Love Story?"" It's about a Harvard chick that puts out for a guy and then croaks."
Lenny Leonard,And it saved Paramount Studios for Charlie Bluhdorn.
Marge Simpson,
Bart Simpson,"A chick flick? Say it ain't so, Ho!"
Homer Simpson,Can I have both?
Homer Simpson,"Son, seeing sappy movies with a lady has certain ""payoffs."""
Bart Simpson,Like what? They'll do something with you that they hate?
Homer Simpson,Exactly.
,
Homer Simpson,WHERE DO I BEGIN? TO TELL THE STORY OF HOW GREAT A LOVE CAN BE...
Marge Simpson,THE SWEET LOVE STORY THAT IS OLDER THAN THE SEA...
Homer Simpson,THE SIMPLE SOMETHING THAT DUM DEEDLE DUM DEE DEE... / NOW LET'S PUSH PLAAAY!
Ryan O'Neal,What do you say about a 25-year-old girl who died?
Bart Simpson,I say bury her before she starts to smell.
Marge Simpson,Bart!
Bart Simpson,The man asked a question.
Ali McGraw,Love means never having to say you're sorry.
Lisa Simpson,"No it doesn't! This movie is drivel! She's wooden and unpleasant, and no matter what he does, he's still Ryan O'Neal."
Marge Simpson,"Opinion noted. Now if you don't mind, your father and I are trying to lose ourselves in this romantic fantasy."
Homer Simpson,"Yeah, we're tryin' to create a mood here, so shut the Hell up!"
Marge Simpson,"Homie, if I died, would you be sad?"
Homer Simpson,"Eh, well, I wouldn't be happy."
Marge Simpson,"Oh, Homie."
Ryan O'Neal,Love means never having to say--
Krusty the Clown,A whole canoe made of baloney?
Marge Simpson,"Bart, stop fooling with the remote!"
Bart Simpson,Lisa made me! With a witch's spell!
Lisa Simpson,"It's called Wicca, and it's empowering!"
Bart Simpson,Wicca's a Hollywood fad!
Lisa Simpson,"That's Kaballah, jerk!"
Marge Simpson,Stupid kids ruin everything.
Homer Simpson,"So, um, you're not in the mood anymore, are you?"
Marge Simpson,"Homie, you know I'm usually good for a triple-X throw down, but between those kids and going to Uncle Tyrone's, we can't be alone."
Homer Simpson,We're alone now.
Bart Simpson,You're never alone in this crapshack!
Homer Simpson,Why you little...
Homer Simpson,
Homer Simpson,"What kind of an airline routes all their flights through Nome, Alaska?"
Marge Simpson,It's their hub.
Marge Simpson,"Homie, look at them!"
Marge Simpson,"Honeymooners -- no kids, no worries."
Homer Simpson,Here's your future!
Miami Passengers,
Fit Man,"Not me, I do crunches."
Homer Simpson,Remember our honeymoon?
,
10 Years Younger Homer,I've gotta get back to work.
10 Years Younger Marge,Hold that thought.
,
Female Gate Announcer,"Attention Miami passengers, Suntan Airlines is now boarding rows ""Pi̱a Colada"" through ""Daiquiri."""
Miami Passengers,
Marge Simpson,"You know, if we were younger and crazier, we'd trade in these tickets and run off to Miami!"
Homer Simpson,"Marge, let's do it."
Marge Simpson,What about Uncle Tyrone?
Homer Simpson,We get one weekend to ourselves and we've gotta spend it watching some old geezer's odometer turn over? As the Bible says: screw that!
Homer Simpson,"We don't have boarding passes, but we need to get on that plane for reasons that are utterly insane."
Airline Employee,"Go ahead, what do I care? I'm gettin' laid off tomorrow."
,
Marge Simpson,We're ditching our kids and taking a second honeymoon!
Miami Passengers,
Marge Simpson,And we're blowing off Uncle Tyrone's birthday!
Miami Passengers,
Pilot,You guys are such party animals we're gonna skip the safety check and just take off!
Miami Passengers,
,
Stewardess,I'm afraid we've overbooked this flight...
Marge Simpson,So much for getting my groove back.
Stewardess,So we're upgrading you to First Class.
Homer Simpson,There's a first class?
,
1st Class Stewardess,"Sir, what would you like for dinner? A steak, or two steaks?"
Marge Simpson,This is so luxurious! I feel like I'm Princess Grace and Princess Di smashed together!
Homer Simpson,"And look at me, I'm reading ""The Economist."" Did you know Indonesia is at a crossroads?"
Marge Simpson,No!
Homer Simpson,It is.
,
Kent Brockman,"...I guess you could call him the little tortoise that couldn't. See our website for the recipe. This just in: a monster tornado is tearing through Dayton, Ohio."
Lisa Simpson,That's where Mom and Dad are!
Kent Brockman,Looks like the twister is headed right for the Dayton Arms Hotel!
Grampa Simpson,
Bart Simpson,They might not be dead -- they could be in the basement!
Lisa Simpson,I'm an orphan!
Grampa Simpson,I'm a legal guardian!
Grampa Simpson,How can I be a parent? I break my teeth on ribbon candy.
Lisa Simpson,"Quiet, Grampa. Hello... Mom?!?!"
,
Marge Simpson,"Hi, sweetie. We're just calling to check in."
Lisa Simpson,Where are you?! Are you okay?
Marge Simpson,Right here in Dayton.
Lisa Simpson,At the Dayton Arms hotel?
Marge Simpson,Yup. It's really boring. You kids would have hated it.
Lisa Simpson,So... how's the weather in Dayton?
Marge Simpson,"Oh, you know, typical boring Dayton weather!"
Marge Simpson,
Lisa Simpson,"Hey, do I hear a back rub?"
Marge Simpson,"No, no. That's the noise the phone makes when you've been on too long. Bye now! Love you."
Lisa Simpson,"Something's fishy. They're not in Dayton, they're somewhere fun."
Bart Simpson,"We're not enough fun for them? Well, I know how to find out where they are."
Hotel Operator,"Swelldorado Hotel Miami Beach, ""Sun and water without your son and daughter."" How may I direct your call?"
,
Grampa Simpson,I can't go to Miami -- I'm expecting calls from telemarketers!
Bart Simpson,You'll love it -- it's full of sexy old widows who don't want to die alone.
Grampa Simpson,All right ladies -- get ready to settle!
,
Homer Simpson,"Boy, it's great being here without those children of yours."
Marge Simpson,"Yeah, I've never sat by a pool this long without having to apologize to someone."
Homer Simpson,"And tonight, we'll finally, and romantically, hump."
Marge Simpson,Here's to life without children!
Young Wife,"Well, we can't wait to have kids."
Marge Simpson,
Young Husband,"Seriously, with the new breast pumps, and Diaper Genies, and corporate flex-time, child-rearing oughta be a snap!"
Homer Simpson,You keep thinking that!
,
Grampa Simpson,We're here -- and it's a good thing too. The car's been drivin' funny since Orlando.
Animal Character,Everything happens to Eemore.
,
Lisa Simpson,Let's go find Mom and Dad!
Bart Simpson,First let's slap on some Band-Aids so they feel really bad for ditching us.
Grampa Simpson,Time to find a woman who needs some TLC... a tired liver-spotted coot.
,
Widow #1,Check out the well-aged beef!
Widow #2,No scar -- he must be on his first heart!
Widow #1,"I wouldn't kick him outta bed for dyin'. Hey, handsome, pull up a donut and sit down."
Grampa Simpson,"Hey ladies, I used to be in movies."
Widows,
Grampa Simpson,You know those feet stickin' out from under the house in The Wizard of Oz? You're lookin' at 'em.
Widows,Ewww.
,
Homer Simpson,COME ON EVERYBODY HAVE SOME SEX-UAL CONGRESS / NOT THE KIND OF CONGRESS THAT CONTAINED PAUL TSONGAS...
Marge Simpson,
Marge Simpson,The kids tracked us down! Our romantic holiday just became a stinkin' family vacation.
Homer Simpson,"Marge, I won't let that happen. We have to grab this chance for romance now, or we'll never be alone. Not 'til Lisa's in college and we've lost contact with Bart."
,
Marge Simpson,"You're right, but where do we go?"
Homer Simpson,I've got a card that can take us anywhere in the world!
,
Marge Simpson,Step on it!
Lisa Simpson,Those horn-dogs -- they ditched us again! You know what this means?
Bart Simpson,We have a free hotel room in Miami for two days?
Lisa Simpson,"No. We're gonna follow them across this great land, making sure they don't have one moment of fun."
Bart Simpson,And I have a card that can take us anywhere they go.
,
,
AIRLINE REP.,"I'm sorry, we're not supposed to give out passengers' itineraries."
Bart Simpson,"I understand... Hey, what's that crazy girl doin'?"
Lisa Simpson,I'm going into the Gold Medallion Club... with silver-level membership!
AIRLINE REP.,The hell you are!
Bart Simpson,"So, Mom and Dad are going to Atlantic City...but their luggage isn't. And Homer's getting the low-fat meal."
,
Homer Simpson,Noooo!
,
,
Attractive Widow,"You're more boring than my husband, and he's dead!"
Grampa Simpson,"Well, I bet I smell better."
Attractive Widow,At the moment it's about even.
Grampa Simpson,I can't wait 'til we bury the last of you Hepburn types.
Attractive Widow,Really.
Raoul,"Perhaps I can help. I have a penthouse from which you can see all the way to Epcot. If you take a woman there, she will be yours."
Grampa Simpson,Hot ziggety!
Raoul,Indeed. I am Raoul.
Raoul,"While we walk, may I place my hand on your shoulder as a sign of friendship?"
Grampa Simpson,Why not?
,
,
Marge Simpson,"Homie, people in the other elevators can see us."
Homer Simpson,"Oh yeah, like people in New Jersey have never seen a fat man makin' out. It's on the freakin' state flag."
Cat Lady,
Marge Simpson,"Oh my God, Homie! Look!"
Marge Simpson,"That boy failed show and tell, but he's on our ass like Sherlock Holmes."
Drederick Tatum,"How you doin', I'm fighting a white rhino today at the Tropicana. Shows at two, four, six, eight, ten and midnight. Check it out. Come on."
Drederick Tatum,"Hey kids, I'm tying balloons on the boardwalk at three, five, seven, nine and eleven. Check it out. Come on, don't be ridiculous."
,
Homer Simpson,Occupied!
,
,
Grampa Simpson,"Okay Raoul, let's go meet some Se̱oritas!"
Raoul,"Grampa, I must confess: I am not as interested in women as my open shirt might suggest. To be frank, they disgust me."
Grampa Simpson,Uh-oh.
Raoul,"Yes. Now, let us enjoy one of your rambling, disjointed yet somehow erotic tales."
Grampa Simpson,Are you gonna go lavender on me?
Raoul,"We shall see, huh. But I promise you I will treasure every word that drops from your beautiful lips."
Grampa Simpson,Really? You're sweet.
Raoul,Proceed.
Grampa Simpson,For many years I was a tater farmer. But the shameful truth is... the taters farmed me.
Raoul,Your neck skin dances when you speak.
,
,
Homer Simpson,"At last, we're alone..."
Homer Simpson,
Marge Simpson,"Homie, the waiter's still here."
Homer Simpson,"Oh, right."
Waiter,"Thank you, sir."
Homer Simpson,"And now, my darling, it's finally time for romance. But before the intercourse, the dinner course."
Lisa Simpson,Busted!
Bart Simpson,You guys lied to us!
Lisa Simpson,You probably do this all the time! This whole family is built on a tissue of lies and romance!
Bart Simpson,"Yeah, it's a tissue... covered in blood and boogers!"
Marge Simpson,Would you two just shut up!!
Marge Simpson,"Sure, we lied. We lied so we could spend a single night as a married couple without worrying about you kids!"
Bart Simpson,Those days are over! Give it up!
Marge Simpson,"You win, kids. Just sleep here tonight and we'll all go back to Springfield tomorrow."
Bart Simpson,Great! What do you wanna play?
Lisa Simpson,How 'bout the floor is made of lava?
Lisa Simpson,
Homer Simpson,"All I wanted was a second honeymoon, and now the floor is made of lava."
,
Bart Simpson,"Lis, you awake?"
Lisa Simpson,"Yeah, I can't sleep. Maybe we should give Mom and Dad a break. You know, go spend the day in an amusement park so we're out of their hair."
Bart Simpson,"Yeah, I agree. I mean, you are pretty annoying."
Lisa Simpson,I guess the hunt was more fun than the catch.
Bart Simpson,"Hey, I just zinged you."
Lisa Simpson,I know. My new thing is to ignore you.
Lisa Simpson,When you grow up I'll be outside.
Bart Simpson,"I'm grown up, I'm grown up!"
,
,
Homer Simpson,"I knew if we got up early enough, we could sneak away from Bart and Lisa. Kids don't beat me, I beat kids."
Marge Simpson,And nobody does it better.
Lisa Simpson,
Homer Simpson,You monsters! You followed us!
Lisa Simpson,"No! You don't understand. We came here to give you some privacy, and--"
Marge Simpson,We understand perfectly well!
Lisa Simpson,Let me finish my sentence!
Homer Simpson,Never!
,
Homer Simpson,This way!
,
Homer Simpson,Quick -- we can hide in here!
Marge Simpson,"I don't know... Homie, why don't we just go home, wait 'til the kids fall asleep, and have sex in the car?"
Homer Simpson,"Because I was saving that for my birthday. Now, c'mon!"
,
Homer Simpson,This must be what it's like to be in space.
Marge Simpson,You've been to space.
Homer Simpson,"And yet, I've never been to me."
Homer Simpson,That sliding should stop soon.
Homer Simpson,This rolling is just temporary.
Homer Simpson,"Ah, that's better. So why do they call this place Niagara Falls anyway?"
,
American Skipper,"Back off, Canadians. We've got 'em."
Canadian Skipper,"You back off, hosers. They're in Canadian waters, eh!"
American Skipper,"Beat it, you puck-slapping maple-suckers!"
Canadian Skipper,"Take a hike, ya Shatner-stealing Mexico-touchers!"
AMERICAN/CANADIAN SKIPPERS,
,
Homer Simpson,"Marge, I guess we'll just have to make love in Heaven. I'll bet it always works up there."
Marge Simpson,"Shut up and kiss me, you doomed hunk!"
,
Tour Guide,"Ahoy, moon bounce!"
Tour Guide,Is anyone alive?
Marge Simpson,More alive than any of you squares!
Homer Simpson,
Homer Simpson,
Homer Simpson,"Oh, you're on my hair. Oh, that's better."
Lisa Simpson,"Well, it looks like everything worked out just fine for everybody."
,
Ned Flanders,"Huh, credit card bill seems a little chunky this month."
Ned Flanders,Let's see what's goin' on vis a vis the VISA.
Ned Flanders,
Rod Flanders,
,
Announcer,"Welcome back to ""Promiscuous Idiots Island."" On Fox, the home of promiscuous idiots."
,
Host,"Last week, on ""P.I.I.,"" our billionaire bachelor gave five lovely ladies a rose of continuation. And he hurled a rock of rejection at anyone displaying intelligence, character or ethnicity."
,
Announcer,Tonight... we reveal a shocking secret.
Homer Simpson,No one does that to my daughter!
Host,"Ladies, when you were selected, you were told that you'd be dating a billionaire on his private island. Well, I'm afraid we misled you..."
Marge Simpson,"Get ready, skanks -- here comes the truth train!"
Host,...this isn't an island at all. It's a peninsula!
Contestant #1,This was supposed to be about trust!
Contestant #2,I just want to get on that boat and go home.
Host,"Well, you don't need a boat, 'cause you can walk!"
Contestant #2,
Host,Yeah.
Bart Simpson,"What did those women expect? When you sign a contract with Fox, you know you're gonna be betrayed and humiliated."
Homer Simpson,"Quiet, the commercial's on! If we don't watch these, it's like we're stealing TV."
Farmer Billy,Do you love that sooo-weet smell of Farmer Billy's bacon?
Homer Simpson,Do I ever!
Farmer Billy,Would you like to see how a pig goes from loving life to your fork and knife?
Homer Simpson,Would I!
Farmer Billy,"Well, if you open up one of these here packages and find a golden ticket, you git a tour of Farmer Billy's bacon factory!"
Announcer,Warning -- bacon factory may explode.
Farmer Billy,"You'll see the hoof grinder! The marrow sluice! And of course, the five-story pig shredder, blessed by three Popes."
Farmer Billy,"If you like bacon, you're gonna love it. And if you don't like bacon, well then the hell with you."
Homer Simpson,I'm going to find that golden ticket and win that tour! The only thing that can make bacon more delicious is seeing how it's made!
,
Apu Nahasapeemapetilon,"Okay, Farmer Billy's slow-killed bacon, Farmer Billy's bacon-fed bacon, Farmer Billy's travel bacon... Mr. Simpson, if you really want to kill yourself, I also sell handguns."
Homer Simpson,Nope. Just lookin' for that golden ticket.
Homer Simpson,"Nope, nothing, nope, nada, the golden ticket! At long last."
Apu Nahasapeemapetilon,"Please, Mr. Simpson, please. I fear your smooches are premature. This is, in fact, a silver ticket."
Homer Simpson,Huh?
The Rich Texan,This table's about as solid as your underlying concept.
Apu Nahasapeemapetilon,"""This silver ticket entitles you to judge the pig competition, at the Springfield County Fair."""
Homer Simpson,Judge a pig competition?... But I'm no super-genius! Or are I?
,
Lisa Simpson,These giant vegetables are amazing.
Marge Simpson,How about a bite of the world's biggest Brussels sprout?
Bart Simpson,Eww.
Country Singer,This song is about a country I love -- you may have heard of it. It's called America.
Homer Simpson,"Hey, I know that country!"
Country Singer,I COULD PLEASE MS. BARBRA STREISAND / BY SPITTIN' ON THE FLAG / OR STRANGLIN' A BALD EAGLE / ON THE COVER OF SOME MAG /
Country Singer,BUT I LOVE THIS COUNTRY / TO ME SHE HAS NO SINS / IF YOU DON'T BUY MY RECORD / THEN AL QAEDA WINS!
Homer Simpson,USA! USA!
Pig Owner,Of all the days for you to get a zit.
Homer Simpson,Comely... succulent... clearly had a snout job...
Homer Simpson,"Ugh, too eighties."
Marge Simpson,Let's see how your sister's doing in the place-setting competition.
Bart Simpson,Place-setting? How is someone so lame related to a hot tamale like me?
Krusty the Clown,"Check it out -- dribble glass, rubber knife, whoopee salad..."
Salad,
Krusty the Clown,"And finally, the breakaway wine bottle..."
Krusty the Clown,... did not arrive.
Lisa Simpson,"My theme is ""If Music Be The Food of Love."" The setting features tuning forks, champagne flutes and of course, chopsticks. And for dessert, Ella Fitz Jell-O."
The Rich Texan,"Lordy girl, your entry stinks like the south end of a north-bound mule!"
Lisa Simpson,What's wrong with it?
The Rich Texan,"Well, your place-setting thinks it's better than it is -- like a yard dog that sneaks into the house!"
Cletus Spuckler,Zing!
Lisa Simpson,Did I do anything right?
The Rich Texan,"Well, you did put it on a table."
The Rich Texan,"Looky here, it wobbles! Wobble, wobble, wobble! Wobble, wobble, wobble! Wobble, wobble, wobble!"
Marge Simpson,
Chief Wiggum,"One more felony assault, Simpson, and you're goin' down. I didn't know I could fit in a bubble. I must be losin' weight."
Homer Simpson,But I've gotta do something! I'll need a disguise.
The Rich Texan,"Aw, there, there, li'l darlin'. Dry those tears... with this."
Lisa Simpson,
The Rich Texan,
Homer Simpson,Hold it right there!
Crowd,
Homer Simpson,You've hurt your last feeling!
Lisa Simpson,
Crowd,
Drederick Tatum,"We all know pi R squared. But today, pie are justice. And I welcome it."
Lisa Simpson,Thank you mysterious stranger... where did he go?
Marge Simpson,"Where were you, Homie? You missed all the excitement."
Sideshow Mel,Shall we ever see Springfield's costumed protector again?
Homer Simpson,"Oh, I have a funny feeling we will. Wherever people are mistreated, the Pie Man will strike!"
,
Homer Simpson,"Whatcha doin', sweetie?"
Lisa Simpson,"I'm drawing a picture of my newest hero, the Pie Man."
Homer Simpson,"That's really sweet, honey."
Homer Simpson,"Aw, hey, let's turn that frown upside down."
Bart Simpson,"Dad, I feel like I'm gonna throw up."
Homer Simpson,"What's wrong, son?"
Bart Simpson,Comic Book Guy made me pay for these comics he said I smudged. But I didn't even touch 'em!
Lisa Simpson,"""Richie Rich Incorporates In Delaware,"" ""Easy to Believe Tales,"" ""Supergirl vs. the Glass Ceiling,"" ""The Green Listener""..."
Bart Simpson,He was just trying to unload these crappy comics on a helpless kid.
Homer Simpson,"Somebody ought to take him down a peg. Or, should I say, down a pie."
Lisa Simpson,"No, I think the expression is ""peg."""
Homer Simpson,"Maybe you're right, Lisa. Maybe you're pie. Pie-be you're pie."
,
,
Milhouse Van Houten,"This magazine you sold me isn't ""Fantastic Four."" It's ""Fantastic Floor""!"
Milhouse Van Houten,My family can't put in floors -- we rent!
Comic Book Guy,"Sorry, no refunds."
Comic Book Guy,Oh brother. Why do we get all the weirdos here at the comic book store?
Homer Simpson,Comic Book Guy! Don't do the crime if you can't do the key lime!
Comic Book Guy,How could this be any more humiliating?
Nichelle Nichols,"Hello, I'm Nichelle Nichols of Star Trek."
Comic Book Guy,"Oh, you've finally accepted my invitation for tea and chit-chat!"
Nichelle Nichols,"Listen, I said it to Shatner and I'm saying it to you: there is no way I'm going to be dating a man with pie on his face."
Kids,
Bart Simpson,"There's a note! ""Evildoers beware! Signed, Simple Simon, your friendly neighborhood Pie Man."""
Milhouse Van Houten,"Finally, a superhero that kids can love!"
Nelson Muntz,What about Fistface?
Milhouse Van Houten,Fistface? Who's Fistface? Why won't you tell me who Fistface is? I demand you reveal the identity of Fistface!
Nelson Muntz,It's you!
,
Marge Simpson,You can tell by the way the pie tin sits on his face that he's very good looking.
Homer Simpson,"Oh, I think you'd find his filling extremely hot."
Marge Simpson,"Ooh, I'll bet he's Ned Flanders."
Homer Simpson,Flanders!? He's not man enough to trim my crust. I mean Pie Man's crust. I'm not Pie Man.
Kent Brockman,"Pie -- popular pastry, tricky math thing, and now, sword of righteousness. A masked avenger has been giving Springfield's scoundrels their just desserts."
Homer Simpson,This is for your show's slight decline in quality over the years!
Kent Brockman,"In an attempt to curb copycat pieings, the police have organized a pie-for-guns exchange."
Kent Brockman,The pies were immediately detonated by the bomb squad.
,
Chief Wiggum,"Oh, those poor innocent pies. Some days you just don't want to be a cop, you know? I'm gonna go turn the siren on, that always cheers me up."
Kent Brockman,"That's good footage. Where will the Pie Man strike next? Perhaps at the Springfield Children's Hospital, which is tossing out all its sick youngsters to make way for a new cosmetic surgery clinic."
Poor Violet,Who will treat my whooping cough?
Mayor Joe Quimby,Search me. Come back when you want a giant rack.
Chief Wiggum,"Okay, Lou, the minute Pie Man shows up, we spring our trap."
Lou,Whaddya got against this pie guy anyway? He's givin' jerks their comeuppance.
Chief Wiggum,"Yeah, but he's skippin' the hardest part of bein' a cop: bike safety lectures."
Lou,"Oh, come on, Chief."
Chief Wiggum,"No, no one ever wants to hear about the importance of pants clips, do they?"
Lou,"Yeah, but..."
Chief Wiggum,That's why Pie Man is goin' down.He spins the barrel of his gun.
Mayor Joe Quimby,"Thanks to this clinic, we will no longer be terrorized by the spectacle of women aging naturally."
Homer Simpson,
Homer Simpson,"Not so fast, old-time liberal."
Mayor Joe Quimby,Get him!
Lenny Leonard,"Pie Man, no! It's a trap!"
Homer Simpson,"No trap can hold Homer Simpson! But I'm not Homer Simpson. I'm the Pie Man. Homer Simpson away! I mean, the Pie Man!"
Chief Wiggum,Shoot to kill!
Homer Simpson,Dammit!
Chief Wiggum,"Oh, way to go, Lou. You hit him!"
Lou,You sound like you're surprised.
Chief Wiggum,"I'm trying to give you positive reinforcement, jerk."
Lou,That's positive? Callin' me a jerk?
Chief Wiggum,You are a jerk.
Marge Simpson,I'm not being trampled. What gives?
Marge Simpson,Listen... I'm married.
Marge Simpson,"I'm looking up your nose, but I feel like I'm staring into your soul."
Homer Simpson,
Marge Simpson,"That was so exciting, yet familiar. Like Coke with lemon."
